user_id,anime_id,rating
1,20,-1
1,24,-1
1,79,-1
1,226,-1
1,241,-1
1,355,-1
1,356,-1
1,442,-1
1,487,-1
1,846,-1
1,936,-1
1,1546,-1
1,1692,-1
1,1836,-1
1,2001,-1
1,2025,-1
1,2144,-1
1,2787,-1
1,2993,-1
1,3455,-1
1,4063,-1
1,4214,-1
1,4224,-1
1,4581,-1
1,4744,-1
1,4898,-1
1,4999,-1
1,5034,-1
1,5277,-1
1,5667,-1
1,5781,-1
1,5958,-1
1,6163,-1
1,6205,-1
1,6324,-1
1,6500,-1
1,6547,-1
1,6682,-1
1,6707,-1
1,6747,-1
1,6773,-1
1,6793,-1
1,7088,-1
1,7148,-1
1,7593,-1
1,7739,-1
1,7858,-1
1,8074,10
1,8407,-1
1,8424,-1
1,8525,-1
1,8630,-1
1,8841,-1
